step_or_iteration,tag,value
10,iter/step_skip_rate,0.0
11,iter/step_skip_rate,0.0
12,iter/step_skip_rate,0.0
13,iter/step_skip_rate,0.0
14,iter/step_skip_rate,0.0
15,iter/step_skip_rate,0.0
16,iter/step_skip_rate,0.0
17,iter/step_skip_rate,0.0
18,iter/step_skip_rate,0.0
19,iter/step_skip_rate,0.0
20,iter/step_skip_rate,0.0
21,iter/step_skip_rate,0.0
22,iter/step_skip_rate,0.0
23,iter/step_skip_rate,0.0
24,iter/step_skip_rate,0.0
0,iter/total_loss,3.159614086151123
1,iter/total_loss,3.054170608520508
2,iter/total_loss,3.119617462158203
3,iter/total_loss,3.135282516479492
4,iter/total_loss,3.160414695739746
5,iter/total_loss,3.164475202560425
6,iter/total_loss,3.1647021770477295
7,iter/total_loss,3.155302047729492
8,iter/total_loss,3.1604981422424316
9,iter/total_loss,3.161586046218872
10,iter/total_loss,3.126681327819824
11,iter/total_loss,3.1047630310058594
12,iter/total_loss,3.077456474304199
13,iter/total_loss,3.0498499870300293
14,iter/total_loss,3.026840925216675
15,iter/total_loss,3.0122275352478027
16,iter/total_loss,2.9905223846435547
17,iter/total_loss,2.978667736053467
18,iter/total_loss,2.9702939987182617
19,iter/total_loss,2.9670448303222656
20,iter/total_loss,2.9642152786254883
21,iter/total_loss,2.964717149734497
22,iter/total_loss,2.9667346477508545
23,iter/total_loss,2.9726359844207764
24,iter/total_loss,2.9802768230438232
0,iter/value_loss,0.3881743848323822
1,iter/value_loss,0.27855363488197327
2,iter/value_loss,0.28015145659446716
3,iter/value_loss,0.29364898800849915
4,iter/value_loss,0.30390119552612305
5,iter/value_loss,0.30734848976135254
6,iter/value_loss,0.31016790866851807
7,iter/value_loss,0.3098251521587372
8,iter/value_loss,0.3195241391658783
9,iter/value_loss,0.32733064889907837
10,iter/value_loss,0.32830971479415894
11,iter/value_loss,0.3242958188056946
12,iter/value_loss,0.317874014377594
13,iter/value_loss,0.3116913437843323
14,iter/value_loss,0.30659806728363037
15,iter/value_loss,0.30084848403930664
16,iter/value_loss,0.29643356800079346
17,iter/value_loss,0.28929403424263
18,iter/value_loss,0.28344857692718506
19,iter/value_loss,0.2740587592124939
20,iter/value_loss,0.27057012915611267
21,iter/value_loss,0.2665540277957916
22,iter/value_loss,0.2639600932598114
23,iter/value_loss,0.256868839263916
24,iter/value_loss,0.2512655556201935
0,iter/value_mse,0.3881743848323822
1,iter/value_mse,0.27855363488197327
2,iter/value_mse,0.28015145659446716
3,iter/value_mse,0.29364898800849915
4,iter/value_mse,0.30390119552612305
5,iter/value_mse,0.30734848976135254
6,iter/value_mse,0.31016790866851807
7,iter/value_mse,0.3098251521587372
8,iter/value_mse,0.3195241391658783
9,iter/value_mse,0.32733064889907837
10,iter/value_mse,0.32830971479415894
11,iter/value_mse,0.3242958188056946
12,iter/value_mse,0.317874014377594
13,iter/value_mse,0.3116913437843323
14,iter/value_mse,0.30659806728363037
15,iter/value_mse,0.30084848403930664
16,iter/value_mse,0.29643356800079346
17,iter/value_mse,0.28929403424263
18,iter/value_mse,0.28344857692718506
19,iter/value_mse,0.2740587592124939
20,iter/value_mse,0.27057012915611267
21,iter/value_mse,0.2665540277957916
22,iter/value_mse,0.2639600932598114
23,iter/value_mse,0.256868839263916
24,iter/value_mse,0.2512655556201935
0,selfplay/games_per_min,75.17514038085938
1,selfplay/games_per_min,34.624454498291016
2,selfplay/games_per_min,35.802894592285156
3,selfplay/games_per_min,33.14392852783203
4,selfplay/games_per_min,35.441001892089844
5,selfplay/games_per_min,35.30717468261719
6,selfplay/games_per_min,35.27397537231445
7,selfplay/games_per_min,25.414825439453125
8,selfplay/games_per_min,25.848161697387695
9,selfplay/games_per_min,32.92192459106445
10,selfplay/games_per_min,34.37127685546875
11,selfplay/games_per_min,34.52753829956055
12,selfplay/games_per_min,32.90097427368164
13,selfplay/games_per_min,33.426109313964844
14,selfplay/games_per_min,33.31581115722656
15,selfplay/games_per_min,32.7386360168457
16,selfplay/games_per_min,33.29408645629883
17,selfplay/games_per_min,32.95749282836914
18,selfplay/games_per_min,32.82550811767578
19,selfplay/games_per_min,32.58430480957031
20,selfplay/games_per_min,32.58721160888672
21,selfplay/games_per_min,32.44224166870117
22,selfplay/games_per_min,32.522186279296875
23,selfplay/games_per_min,32.21937942504883
24,selfplay/games_per_min,31.990768432617188
0,selfplay/num_positions,38191.0
1,selfplay/num_positions,38420.0
2,selfplay/num_positions,36877.0
3,selfplay/num_positions,38340.0
4,selfplay/num_positions,37371.0
5,selfplay/num_positions,37626.0
6,selfplay/num_positions,37787.0
7,selfplay/num_positions,37905.0
8,selfplay/num_positions,38039.0
9,selfplay/num_positions,37995.0
10,selfplay/num_positions,38067.0
11,selfplay/num_positions,38024.0
12,selfplay/num_positions,38397.0
13,selfplay/num_positions,37809.0
14,selfplay/num_positions,38014.0
15,selfplay/num_positions,38274.0
16,selfplay/num_positions,38196.0
17,selfplay/num_positions,38253.0
18,selfplay/num_positions,38177.0
19,selfplay/num_positions,38156.0
